Study_code;Sample_ID;SpC;Cl;SO4;NO3;NO2;F;TN;Sample_n;Sample_ID;NPOC;Sample_ID
WHONDRS_S19S;S19S_0001_ANI-1;122.3;1.33;10;0.32;Below_Range_Less_Than_0.04;0.06;NA;S19S1;NA;NA;S19S_0001_ANI-1
WHONDRS_S19S;S19S_0001_ANI-2;NA;1.34;9.71;0.27;Below_Range_Less_Than_0.04;0.04;NA;S19S1;NA;NA;S19S_0001_ANI-2
WHONDRS_S19S;S19S_0001_ANI-3;NA;1.33;10.4;0.34;Below_Range_Less_Than_0.04;0.05;NA;S19S1;NA;NA;S19S_0001_ANI-3
WHONDRS_S19S;S19S_0003_ANI-1;87.5;0.3;9.8;0.19;Below_Range_Less_Than_0.04;0.07;1.19;S19S3;S19S_0003_ICR-1;1.27;S19S_0003_ANI-1
WHONDRS_S19S;S19S_0003_ANI-2;NA;0.31;8.03;0.23;Below_Range_Less_Than_0.04;0.07;0.58;S19S3;S19S_0003_ICR-2;1.8;S19S_0003_ANI-2
WHONDRS_S19S;S19S_0003_ANI-3;NA;0.31;8.62;0.23;Below_Range_Less_Than_0.04;0.06;0.65;S19S3;S19S_0003_ICR-3;1.15;S19S_0003_ANI-3
WHONDRS_S19S;S19S_0004_ANI-1;101.2;1.83;6.53;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.07;0.8;S19S4;S19S_0004_ICR-1;1.96;S19S_0004_ANI-1
WHONDRS_S19S;S19S_0004_ANI-2;NA;2;6.66;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.08;0.74;S19S4;S19S_0004_ICR-2;1.93;S19S_0004_ANI-2
WHONDRS_S19S;S19S_0004_ANI-3;NA;NA;NA;NA;NA;NA;NA;S19S4;S19S_0004_ICR-3;1.79;S19S_0004_ANI-3
WHONDRS_S19S;S19S_0005_ANI-1;967;31.94;NA;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.13;0.7;S19S5;S19S_0005_ICR-1;8.37;S19S_0005_ANI-1
WHONDRS_S19S;S19S_0005_ANI-2;NA;33.9;NA;0.96;Below_Range_Less_Than_0.04;0.16;1.44;S19S5;S19S_0005_ICR-2;8.11;S19S_0005_ANI-2
WHONDRS_S19S;S19S_0005_ANI-3;NA;34.06;NA;0.38;Below_Range_Less_Than_0.04;0.16;1.12;S19S5;S19S_0005_ICR-3;8.75;S19S_0005_ANI-3
WHONDRS_S19S;S19S_0006_ANI-1;NA;311.31;33.45;6.43;Below_Range_Less_Than_0.04;Below_Range_Less_Than_0.02;1.55;S19S6;S19S_0006_ICR-1;1.43;S19S_0006_ANI-1
WHONDRS_S19S;S19S_0006_ANI-2;NA;286.25;30.48;6.1;Below_Range_Less_Than_0.04;0.12;1.68;S19S6;S19S_0006_ICR-2;1.62;S19S_0006_ANI-2
WHONDRS_S19S;S19S_0006_ANI-3;NA;284.53;29.97;6.14;Below_Range_Less_Than_0.04;0.09;1.57;S19S6;S19S_0006_ICR-3;1.52;S19S_0006_ANI-3
WHONDRS_S19S;S19S_0007_ANI-1;56.4;0.39;0.19;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.04;0.4;S19S7;S19S_0007_ICR-1;0.93;S19S_0007_ANI-1
WHONDRS_S19S;S19S_0007_ANI-2;NA;0.41;0.24;0.41;Below_Range_Less_Than_0.04;0.03;0.68;S19S7;S19S_0007_ICR-2;1.05;S19S_0007_ANI-2
WHONDRS_S19S;S19S_0007_ANI-3;NA;0.38;0.18;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.04;0.36;S19S7;S19S_0007_ICR-3;1.06;S19S_0007_ANI-3
WHONDRS_S19S;S19S_0008_ANI-1;28.1;0.22;0.23;Below_Range_Less_Than_0.12;Below_Range_Less_Than_0.04;0.03;0.15;S19S8;S19S_0008_ICR-1;1.87;S19S_0008_ANI-1
