num,Sample_ID,00681_NPOC_mg_per_L_as_C
1,S19S_0003_ICR-1,1.27
2,S19S_0003_ICR-2,1.8
3,S19S_0003_ICR-3,1.15
4,S19S_0004_ICR-1,1.96
5,S19S_0004_ICR-2,1.93
6,S19S_0004_ICR-3,1.79
7,S19S_0005_ICR-1,8.37
8,S19S_0005_ICR-2,8.11
9,S19S_0005_ICR-3,8.75
10,S19S_0006_ICR-1,1.43
11,S19S_0006_ICR-2,1.62
12,S19S_0006_ICR-3,1.52
13,S19S_0007_ICR-1,0.93
14,S19S_0007_ICR-2,1.05
15,S19S_0007_ICR-3,1.06
16,S19S_0008_ICR-1,1.87
17,S19S_0008_ICR-2,1.78
18,S19S_0008_ICR-3,1.96
19,S19S_0009_ICR-1,2.25
20,S19S_0009_ICR-2,3.16
21,S19S_0010_ICR-1,2.52
22,S19S_0010_ICR-2,2.26
23,S19S_0010_ICR-3,2.04
24,S19S_0011_ICR-1,3.83
25,S19S_0011_ICR-2,2.64
26,S19S_0011_ICR-3,4.03
27,S19S_0012_ICR-1,1.41
28,S19S_0012_ICR-2,2.02
29,S19S_0012_ICR-3,2.07
30,S19S_0013_ICR-1,1.64
31,S19S_0013_ICR-2,2.21
32,S19S_0013_ICR-3,1.84
33,S19S_0014_ICR-1,0.61
34,S19S_0014_ICR-2,0.83
35,S19S_0014_ICR-3,0.78
36,S19S_0015_ICR-1,1.87
37,S19S_0015_ICR-2,2.7
38,S19S_0015_ICR-3,2.03
39,S19S_0016_ICR-1,1.03
40,S19S_0016_ICR-2,0.98
41,S19S_0016_ICR-3,0.85
42,S19S_0017_ICR-1,2.23
43,S19S_0017_ICR-2,3.53
44,S19S_0017_ICR-3,2.6
45,S19S_0018_ICR-1,0.73
46,S19S_0018_ICR-2,0.48
47,S19S_0018_ICR-3,0.86
48,S19S_0019_ICR-1,Below_Range_Less_Than_0.45
49,S19S_0019_ICR-2,0.46
50,S19S_0019_ICR-3,Below_Range_Less_Than_0.45
51,S19S_0020_ICR-1,4.01
52,S19S_0020_ICR-2,3.09
53,S19S_0020_ICR-3,4.33
54,S19S_0021_ICR-1,1.36
55,S19S_0021_ICR-2,1.49
56,S19S_0021_ICR-3,1.84
57,S19S_0022_ICR-1,1.95
58,S19S_0022_ICR-2,2.39
59,S19S_0022_ICR-3,1.62
60,S19S_0023_ICR-1,3.6
61,S19S_0023_ICR-2,4.76
62,S19S_0023_ICR-3,4.97
63,S19S_0024_ICR-1,0.66
64,S19S_0024_ICR-2,0.65
65,S19S_0024_ICR-3,0.61
66,S19S_0025_ICR-1,1.94
67,S19S_0025_ICR-2,2.23
68,S19S_0025_ICR-3,1.34
