num,Sample_ID,00681_NPOC_mg_per_L_as_C
1,S19S_0067_Sed_Field_ICR-D,24.32
2,S19S_0072_Sed_Field_ICR-M,8.9
3,S19S_0073_Sed_Field_ICR-U,20.24
4,S19S_0071_Sed_Field_ICR-U,31.58
5,S19S_0064_Sed_Field_ICR-M,21.81
6,S19S_0067_Sed_Field_ICR-U,29.74
7,S19S_0072_Sed_Field_ICR-U,10.87
8,S19S_0070_Sed_Field_ICR-M,8.6
9,S19S_0064_Sed_Field_ICR-D,25.59
10,S19S_0035_Sed_Field_ICR-D,23.76
11,S19S_0073_Sed_Field_ICR-D,24.75
12,S19S_0071_Sed_Field_ICR-D,21.59
13,S19S_0073_Sed_Field_ICR-M,21.83
14,S19S_0068_Sed_Field_ICR-U,8.71
15,S19S_0071_Sed_Field_ICR-M,20.39
16,S19S_0067_Sed_Field_ICR-M,21.66
17,S19S_0019_Sed_Field_ICR-M,13.1
18,S19S_0083_Sed_Field_ICR-U,23.29
19,S19S_0072_Sed_Field_ICR-D,8.19
20,S19S_0057_Sed_Field_ICR-U,21.25
21,S19S_0078_Sed_Field_ICR-M,11.38
22,S19S_0100_Sed_Field_ICR-U,4
23,S19S_0079_Sed_Field_ICR-M,9.43
24,S19S_0089_Sed_Field_ICR-M,33.07
25,S19S_0089_Sed_Field_ICR-D,Above_Range_Greater_Than_22
26,S19S_0100_Sed_Field_ICR-D,12.65
27,S19S_0017_Sed_Field_ICR-D,7.86
28,S19S_0057_Sed_Field_ICR-D,35.93
29,S19S_0053_Sed_Field_ICR-D,12.36
30,S19S_0017_Sed_Field_ICR-U,4.33
31,S19S_0079_Sed_Field_ICR-U,15.33
32,S19S_0100_Sed_Field_ICR-M,5.51
33,S19S_0060_Sed_Field_ICR-M,10.32
34,S19S_0052_Sed_Field_ICR-M,22.9
35,S19S_0052_Sed_Field_ICR-U,11.65
36,S19S_0091_Sed_Field_ICR-M,1.35
37,S19S_0091_Sed_Field_ICR-D,3.28
38,S19S_0053_Sed_Field_ICR-M,11.3
39,S19S_0089_Sed_Field_ICR-U,32.15
40,S19S_0052_Sed_Field_ICR-D,16.47
41,S19S_0091_Sed_Field_ICR-U,1.67
42,S19S_0053_Sed_Field_ICR-U,11.13
43,S19S_0098_Sed_Field_ICR-M,38.7
44,S19S_0017_Sed_Field_ICR-M,4.84
45,S19S_0081_Sed_Field_ICR-M,7.58
46,S19S_0014_Sed_Field_ICR-M,12.25
47,S19S_0082_Sed_Field_ICR-D,17.91
48,S19S_0014_Sed_Field_ICR-D,14.07
49,S19S_0078_Sed_Field_ICR-U,6.93
50,S19S_0098_Sed_Field_ICR-D,31.86
51,S19S_0060_Sed_Field_ICR-U,6.2
52,S19S_0013_Sed_Field_ICR-D,19
53,S19S_0031_Sed_Field_ICR-U,6.42
54,S19S_0082_Sed_Field_ICR-U,22.25
55,S19S_0060_Sed_Field_ICR-D,10.74
56,S19S_0031_Sed_Field_ICR-D,6.34
57,S19S_0083_Sed_Field_ICR-D,9.6
58,S19S_0084_Sed_Field_ICR-M,22.51
59,S19S_0099_Sed_Field_ICR-M,14.18
60,S19S_0021_Sed_Field_ICR-M,10.96
61,S19S_0083_Sed_Field_ICR-M,17.88
62,S19S_0081_Sed_Field_ICR-U,24.22
63,S19S_0079_Sed_Field_ICR-D,17.92
64,S19S_0026_Sed_Field_ICR-U,9.26
65,S19S_0019_Sed_Field_ICR-D,9.92
66,S19S_0021_Sed_Field_ICR-U,9.95
67,S19S_0014_Sed_Field_ICR-U,9.79
68,S19S_0080_Sed_Field_ICR-U,20.65
69,S19S_0066_Sed_Field_ICR-U,15.42
70,S19S_0013_Sed_Field_ICR-M,19.78
71,S19S_0013_Sed_Field_ICR-U,16.73
72,S19S_0099_Sed_Field_ICR-D,8.65
73,S19S_0080_Sed_Field_ICR-D,3.96
74,S19S_0082_Sed_Field_ICR-M,20.54
75,S19S_0021_Sed_Field_ICR-D,8.83
76,S19S_0020_Sed_Field_ICR-M,7.87
77,S19S_0086_Sed_Field_ICR-D,12.92
78,S19S_0097_Sed_Field_ICR-U,34.99
79,S19S_0090_Sed_Field_ICR-D,16.07
80,S19S_0077_Sed_Field_ICR-D,16.38
81,S19S_0020_Sed_Field_ICR-U,4.94
82,S19S_0020_Sed_Field_ICR-D,5.49
83,S19S_0084_Sed_Field_ICR-U,10.62
84,S19S_0084_Sed_Field_ICR-D,9.65
85,S19S_0099_Sed_Field_ICR-U,6.77
86,S19S_0086_Sed_Field_ICR-U,11.3
87,S19S_0090_Sed_Field_ICR-U,9.21
88,S19S_0098_Sed_Field_ICR-U,29.44
89,S19S_0024_Sed_Field_ICR-M,32.18
90,S19S_0066_Sed_Field_ICR-D,4.19
91,S19S_0080_Sed_Field_ICR-M,5.68
92,S19S_0077_Sed_Field_ICR-M,8.52
93,S19S_0090_Sed_Field_ICR-M,15.6
94,S19S_0077_Sed_Field_ICR-U,4.88
95,S19S_0031_Sed_Field_ICR-M,4.63
