id,date,stream_name,stream_order,veg_type,river_morphology,intermittent,river_gradient,sed_type,latitude,longitude,water_height,sed_deposition,algal_mats,macrophytes,ph,do_mgl,flow_variation,contamination,sed_type_recode,river_gradient_recode,veg_type_recode,veg_type_recode2,veg_type_recode3,algal_mats_recode,slope,mgL_per_hr
S19S_0001,19-Sep-19,Fraser,9,Grass,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Sand,49.38626,-121.45055,16,Shallow waters near the shore,No,No,6.5,"NA",Natural flow (seasonal). Glacial melt,Yes,Sand,Gentle gradient,Grass,Grass,Grass,No,NA,NA
S19S_0003,8-Sep-19,Thompson,7,Not vegetated,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),50.68883,-120.36647,30,Shallow waters near the shore,Low,No,6,"NA",Natural flow (seasonal). Glacial melt,Yes,Silt,Gentle gradient,None,None,None,Low,NA,NA
S19S_0004,8-Sep-19,South Thompson,6,Grass,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),50.77505,-119.72175,19,Shallow waters near the shore,No,Low,6.5,"NA",Natural flow (seasonal). Glacial melt,Yes,Gravel,Gentle gradient,Grass,Grass,Grass,No,NA,NA
S19S_0005,6-Aug-19,Assiniboine,"NA",Shrub. Grass,Single-channel straight,"NA",Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),49.86877,-97.40805,18,Shallow waters near the shore,"NA","NA",8,"NA","NA","NA",Silt,Gentle gradient,Shrub,Shrub,Shrub,"NA",NA,NA
S19S_0006,29-Jul-19,Dead Run,2,Broadleaf deciduous tree. Shrub,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),39.31162,-76.717316,10,Inside bend of a stream,Low,No,7.5,"NA",Natural flow (seasonal),Yes,Gravel,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,Low,-0.135,8.135
S19S_0007,29-Jul-19,Providence Creek / KREW's P304 creek,1,Needleleaf evergreen tree. Shrub,Single-channel straight,Perennial,Relatively steep gradient (e.g. mountainous or hilly terrain),Sand,37.052435,-119.19567,7.5,Riffle,No,No,6.5,"NA",Natural flow (seasonal). Evapotranspiration,Yes,Sand,Steep gradient,Needleleaf evergreen,Needleleaf,evergreen,No,-0.06,3.32
S19S_0008,29-Jul-19,Teakettle T003 stream,1,Needleleaf evergreen tree. Shrub,Single-channel straight,Perennial,Relatively steep gradient (e.g. mountainous or hilly terrain),Sand,36.961369,-119.028281,22,Downstream from obstacles,No,Low,6.5,4.62 - may not be correctly calibrated,Natural flow (seasonal). Evapotranspiration,No,Sand,Steep gradient,Needleleaf evergreen,Needleleaf,evergreen,No,-0.06,3.5700000000000003
S19S_0009,30-Jul-19,Little Wind River,6,Broadleaf deciduous tree. Shrub,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),42.9876,-108.3983,8,Inside bend of a stream,Low,No,8,"NA",Natural flow (seasonal),No,Silt,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,Low,NA,NA
S19S_0010,31-Jul-19,Altamaha,7,Needleleaf evergreen tree,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),31.667835,-81.839976,30,At the inside bend of a stream. in shallow waters near the shore,Low,No,6.7,"NA",Natural flow (seasonal),"NA",Silt,Gentle gradient,Needleleaf evergreen,Needleleaf,evergreen,Low,-0.049999999999999996,2.86
S19S_0011,5-Aug-19,Middle Oconee,5,Broadleaf evergreen tree,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),33.957827,-83.438589,100,Shallow waters near the shore,the water was very turbid. and no visual inspection was possible. I assume no algal mats present,No,6.7,"NA",Natural flow (seasonal),No,Silt,Gentle gradient,Broadleaf evergreen,Broadleaf,evergreen,No,-0.1,6.28
S19S_0012,13-Aug-19,Hop Brook,2,Broadleaf deciduous tree,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),42.47157,-72.33038,5,Shallow waters near the shore,No,No,6.5,9.63,Natural flow (seasonal),No,Gravel,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,No,-0.016666666666666666,1.1933333333333334
S19S_0013,19-Aug-19,Posey Creek,1,Broadleaf deciduous tree,Single-channel meandering,Perennial,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),38.8945,-78.1474,7,Shallow waters near the shore,No,No,6.5,7.56,Natural flow (seasonal). Evapotranspiration,No,Gravel,Steep gradient,Broadleaf deciduous,Broadleaf,deciduous,No,NA,NA
S19S_0014,19-Aug-19,Lewis Run,2,Broadleaf deciduous tree,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Silt/mud (<0.0625mm),39.0942,-77.9812,15,Shallow waters near the shore,No,No,7.5,9.6,Natural flow (seasonal). Evapotranspiration. Water treatment plant upstream causes water level to vary occasionally,No,Silt,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,No,-0.22,13.44
S19S_0015,5-Aug-19,Flint River,7,Needleleaf deciduous tree. Broadleaf deciduous tree,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Sand,31.184508,-84.437802,131.064,Shallow waters near the shore,No,No,7,6.87,Natural flow (seasonal). Dam (hydropower or other). Irrigation pumping,"NA",Sand,Gentle gradient,Needleleaf deciduous,Needleleaf,deciduous,No,-0.043333333333333335,2.62
S19S_0016,12-Aug-19,King's Creek,2,Broadleaf deciduous tree. Grass,Single-channel meandering,Intermittent,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),39.10429,-96.60286,15,Downstream from obstacles,High,No,7.5,4.37,Natural flow (seasonal),No,Gravel,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,High,-0.08,4.665
S19S_0017,26-Aug-19,McDiffett Creek,3,Broadleaf deciduous tree. Crop,Single-channel meandering,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),38.94667,-96.44379,18.5,Inside bend of a stream,Low,No,7.5,7.3,Natural flow (seasonal),No,Gravel,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,Low,-0.045000000000000005,2.56
S19S_0018,5-Aug-19,LeConte Creek,2,Needleleaf evergreen tree. Broadleaf deciduous tree,Single-channel straight,Perennial,Relatively steep gradient (e.g. mountainous or hilly terrain),Gravel/cobble (>2mm),35.692083,-83.5044488,26,Pool lip,No,No,6.5,9.8,Natural flow (seasonal). Evapotranspiration,No,Gravel,Steep gradient,Needleleaf evergreen,Needleleaf,evergreen,No,-0.02666666666666667,1.6
S19S_0019,19-May-19,Walker Branch,1,Broadleaf deciduous tree,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Gravel/cobble (>2mm),35.956601,-84.2789099,8,Shallow waters near the shore,No,Low,8,11.46,Natural flow (seasonal). Evapotranspiration,No,Gravel,Gentle gradient,Broadleaf deciduous,Broadleaf,deciduous,No,-0.09,5.55
S19S_0020,19-Aug-19,Tombigbee River,7,Needleleaf evergreen tree. Broadleaf deciduous tree,Single-channel straight,Perennial,Relatively flat/gentle gradient (e.g. valleys),Sand,31.85302,-88.1575,26,Shallow waters near the shore,No,Low,7.5,6.61,Natural flow (seasonal),Yes,Sand,Gentle gradient,Needleleaf evergreen,Needleleaf,evergreen,No,-0.045000000000000005,2.755
